**********************************************************************

Tue Feb 24 2026 03:12:09 GMT+0000 (Coordinated Universal Time)
Communal Hallucinations - Banana Boys Chat
DM, Gordon, Jimothy, Elysium

Transcribed by SeaVoice: https://suite.seasalt.ai/voice/discord

**********************************************************************

00:00:03,100-00:00:04,130 DM:  Ah. theres still. 
00:06:04,668-00:06:06,618 Jimothy:  Why? magic the magic itself. 
00:06:06,950-00:06:15,500 DM:  Because. stretching of the magic creates the luck and the wisdom, if youre trying to add sneakiness as an extra layer, then you have to add that as an extra layer.  
00:06:12,344-00:06:15,654 Jimothy:  No, no, but thats separate from the magic, though Im not. 
00:06:17,213-00:06:18,523 DM:  You can do it kind of casually. 
00:06:20,275-00:06:38,825 DM:  But if you're trying to be sneaky, that's going to be another disadvantage role with cunning, no cunning has come into the equation yet, so you're trying to stretch a spell and be sneaky. It's like what's the rule? Dont break more than three or more than one law at a time, so dont speed with a boat and a trailer in the carpool lane if you only have one person in the car. 
00:06:39,905-00:06:40,735 Jimothy:  Okay, I. 
00:06:40,911-00:06:42,501 Elysium:  Obliterator. you just never have a carpool lane. 
00:06:41,890-00:06:43,359 Jimothy:  Im trying to be trying to be stinky here. 
00:06:44,542-00:06:44,932 DM:  Oh, Bo. 
00:06:46,191-00:06:46,901 DM:  Oh, oh boy. 
00:06:46,945-00:06:48,950 Elysium:  Okay, okay, thats. 
00:06:47,773-00:06:49,430 Jimothy:  All right, 18? 
00:06:49,460-00:06:49,516 Elysium:  Good 18. 
00:06:50,940-00:06:50,404 Jimothy:  All the sinky. 
00:06:56,800-00:06:56,318 Elysium:  Good he.  
00:06:57,665-00:06:59,150 Elysium:  Good he. be tactical about it, too. 
00:07:02,602-00:07:05,432 DM:  Okay, so thats an 18 on the sneaki lets see. 
00:07:06,520-00:07:08,310 DM:  How observant are the? 
00:07:09,110-00:07:09,260 DM:  Okay.  
00:07:09,516-00:07:10,866 DM:  Okay. right, are we Re? 
00:07:11,906-00:07:12,776 DM:  To run this. 
00:07:15,662-00:07:15,812 Jimothy:  Yeah.  
00:07:20,772-00:07:20,922 DM:  So?  
00:07:20,997-00:07:21,507 Elysium:  Actually, lesion. 
00:07:23,169-00:07:23,319 DM:  So?  
00:07:23,493-00:07:23,643 Jimothy:  Yeah.  
00:07:25,135-00:07:25,285 Gordon:  Mm.  
00:07:25,872-00:07:33,582 DM:  So? you work your magic as suddenly a slightly unstable kind of rift appears around the girl. 
00:07:33,879-00:07:40,629 DM:  The people in the crowd gasp as the guards quickly turn and bring their weapons to bear as the. 
00:07:43,740-00:07:47,344 DM:  Around her you see her lift and then vanish as a guard leaps at her, she disappears. 
00:07:48,752-00:07:57,582 DM:  The guard lands on his face in the ground, looking around and punching the dirt itself, the other people who are wearing cows on their heads begin looking around, confused.  
00:08:01,610-00:08:05,251 DM:  It is then that as people are gasping You suddenly hear a sound behind you. 
00:08:07,129-00:08:07,479 DM:  As you. 
00:08:08,631-00:08:11,981 DM:  As down, you see blades on either side of your neck. 
00:08:12,897-00:08:14,527 DM:  And you slowly turn around. 
00:08:15,690-00:08:18,400 DM:  To see an all-too-familiar face looking at you. 
00:08:24,301-00:08:27,110 DM:  It looks like the fly fle.  
00:08:27,566-00:08:28,276 DM:  Right into the. 
00:08:29,400-00:08:30,194 DM:  The spider's web. 
00:08:30,556-00:08:33,106 DM:  It is good to see you again, he. 
00:08:34,180-00:08:36,288 DM:  He then leans in and whispers in your ear. 
00:08:37,975-00:08:39,845 DM:  Timothy of the banana boys. 
00:08:39,715-00:08:39,865 Gordon:  Mm.  
00:08:41,411-00:08:43,281 Jimothy:  Yeah. my gosh, all right? 
00:08:43,290-00:08:43,440 Jimothy:  Um.  
00:08:47,640-00:08:49,654 DM:  And that is where we will end for jimothy at this. 
00:08:47,869-00:08:50,139 Jimothy:  Um. do I have time? Can I do something. Oh my gosh. 
00:08:50,892-00:08:51,420 Elysium:  You?  
00:08:51,570-00:08:53,800 Elysium:  You? want to clear your shot deck?  
00:08:51,858-00:08:52,888 Gordon:  Mm. says.  
00:08:53,990-00:08:57,260 Gordon:  Actually, can we reverse all those actions and just restart from the beginning. 
00:08:59,195-00:09:00,145 Elysium:  Load the last save. 
00:09:00,386-00:09:01,576 Gordon:  Yeah, yeah, re. 
00:09:01,675-00:09:01,825 DM:  So?  
00:09:02,556-00:09:02,866 Gordon:  I think. 
00:09:03,537-00:09:06,127 Gordon:  I was an auto save in there somewhere can we just reload that?  
00:09:04,846-00:09:04,996 DM:  So?  
00:09:05,283-00:09:08,553 DM:  So? a couple of things that I need to tell you right now that. 
00:09:08,478-00:09:09,508 DM:  That are hard. 
00:09:10,385-00:09:10,815 DM:  That to say. 
00:09:12,460-00:09:12,610 Gordon:  Oh.  
00:09:13,906-00:09:14,560 Gordon:  Oh.  
00:09:14,445-00:09:19,155 DM:  This whole thing has been a trap orchestrated by Uter von Schmeck.  
00:09:19,262-00:09:22,492 DM:  The route has been planned and.  
00:09:23,515-00:09:23,665 DM:  And?  
00:09:25,950-00:09:29,740 DM:  And? snipers were watching all of you the entire time you're in the courtyard. 
00:09:30,950-00:09:36,140 DM:  And there were bandits or whistlebrush brigands following all of you this entire time. 
00:09:37,991-00:09:43,501 DM:  And utre has been present the entire time, but none of your perception roles were high enough to detect him watching. 
00:09:43,387-00:09:43,697 Elysium:  How? the? 
00:09:44,270-00:09:45,620 Elysium:  How? hell, were my not high enough.  
00:09:44,827-00:09:44,977 Jimothy:  Okay.  
00:09:45,713-00:09:50,423 Jimothy:  Okay. hold on. hold on. hold on. hold on. Yeah, number one, how is Seans not high enough? number two? 
00:09:51,346-00:09:51,616 Elysium:  When I? 
00:09:51,794-00:09:51,944 Jimothy:  I.  
00:09:53,800-00:09:56,718 Elysium:  When never even detect the brigands around me, which I find highly unlike.  
00:09:54,994-00:09:55,984 DM:  So? yours, your. 
00:09:55,196-00:09:55,346 DM:  So?  
00:09:55,592-00:09:56,222 Gordon:  Oh. roll.  
00:09:55,700-00:09:55,300 Gordon:  Oh. roll.  
00:09:56,540-00:09:57,170 Gordon:  Oh. roll. point.  
00:09:57,113-00:10:16,463 DM:  Was initially to detect the precession moving around, that was a very high perception role when you went through so that when you detected the precession and I also asked, what are you looking for? Anything that youd be looking for you, would have seen, but you had no reason to believe that there was anybody tailing you and the brigands weren't blending in with the audience at that time. 
00:10:17,586-00:10:17,736 DM:  So?  
00:10:18,882-00:10:22,232 DM:  So? you had the brigand who was following you and. 
00:10:23,760-00:10:24,146 DM:  He knew who you were. 
00:10:24,456-00:10:26,860 DM:  And then the other? 
00:10:27,350-00:10:34,650 DM:  Brigands were tracking you through the hallways, so you were made from the very beginning and then they're just waiting for something to happen.  
00:10:34,621-00:10:38,331 DM:  They did not see you cast the spell you did beat that Howe. 
00:10:39,599-00:10:42,709 DM:  They had eyes on you and they were actually waiting for you to enter the prison. 
00:10:43,818-00:10:43,968 DM:  Ah.  
00:10:44,772-00:10:44,922 DM:  Ah.  
00:10:47,361-00:10:50,111 DM:  Ah. she disappeared. They know you had something to do with it. 
00:10:47,730-00:10:47,880 Jimothy:  I.  
00:10:48,615-00:10:49,925 Jimothy:  I. hold on. hold on. 
00:10:50,276-00:10:51,506 Jimothy:  No, no, no, no, but. 
00:10:52,646-00:10:55,876 Jimothy:  Like if they didnt see me cast a spell. How in the world? 
00:10:54,348-00:10:54,738 DM:  Uh, oh. 
00:10:57,894-00:11:01,284 Jimothy:  It doesnt make sense why they. they would automatically know its me.  
00:11:02,842-00:11:07,632 DM:  There was also a luck roll that was rolled, and this is when things got really heavy, he rolled a Nat 20. 
00:11:08,709-00:11:10,139 DM:  To be on you. 
00:11:10,953-00:11:13,303 Jimothy:  If I take all three shots right now. 
00:11:15,371-00:11:16,761 DM:  It would be for future roles.  
00:11:17,429-00:11:17,579 Jimothy:  Number.  
00:11:18,725-00:11:18,875 Jimothy:  Number.  
00:11:18,875-00:11:20,585 Jimothy:  Number. redo that. 
00:11:21,384-00:11:22,174 Jimothy:  That luck role. 
00:11:22,354-00:11:22,584 Gordon:  You should. 
00:11:22,944-00:11:28,140 Gordon:  You him, do it, Eric, because this would be entertaining for us. This would be entertaining for us, Eric. come on. 
00:11:23,855-00:11:25,805 Jimothy:  Let me do it. let me do it. 
00:11:27,724-00:11:31,674 Jimothy:  Data Entertainment Factor, It would be off the charts, three shots all at once. 
00:11:29,670-00:11:29,217 DM:  Guys.  
00:11:31,450-00:11:32,720 DM:  Guys. is a? 
00:11:32,591-00:11:34,741 Jimothy:  I do not want to deal with this guy. 
00:11:32,630-00:11:34,300 DM:  A very very R. 
00:11:35,718-00:11:38,680 DM:  And hard moment that has happened here. 
00:11:39,188-00:11:39,338 DM:  And?  
00:11:40,395-00:11:42,265 Gordon:  Let them do it because itd be so fun. 
00:11:41,270-00:11:43,457 Jimothy:  Let me do it. let me do it all three shots. 
00:11:42,718-00:11:52,628 DM:  And? guys, this, this is going to be okay. Im going to. I want? I want to just add this in here, because ultimately the point of this is to have fun, but at the same time.  
00:11:44,170-00:11:45,120 Jimothy:  Ill throw in a fourth. 
00:11:53,565-00:11:54,955 DM:  There's the integrity of it. 
00:11:56,289-00:12:00,279 DM:  There's the storytelling aspect and there's the things that are happening. 
00:11:57,365-00:11:59,475 Gordon:  Thats why theres the shots for the integrity. 
00:11:58,692-00:12:01,420 Jimothy:  Thats why theres the shots. The shots are the fun part. 
00:12:02,213-00:12:14,683 DM:  So there were multiple indications as to what was going on? so it made it a very high risk, move, so I feel like i, I would be okay with possibly redoing, this would be a d, M intervention moment, though. 
00:12:15,803-00:12:15,953 DM:  So?  
00:12:17,120-00:12:28,990 DM:  So? can do that, but is that what you guys want this game to be, do you want your characters to never be in any present danger, because I feel like something will be lost from the game if we do that. 
00:12:17,210-00:12:17,360 Gordon:  Please.  
00:12:26,191-00:12:26,341 Jimothy:  That.  
00:12:26,315-00:12:26,465 Jimothy:  That.  
00:12:30,605-00:12:31,595 Jimothy:  That. word never. 
00:12:31,723-00:12:41,193 Jimothy:  Is operative there and No, I definitely want our characters to be in danger at times and we just got out of a major dangerous adventure, Um? 
00:12:41,361-00:12:52,710 Jimothy:  Multiple major dangerous adventures, and we're about to go into like we have a plan for what we're going into next and this would totally ruin all of that and so um? 
00:12:51,432-00:12:55,502 DM:  Which was a calculated risk I will say with? 
00:12:52,870-00:12:53,200 Jimothy:  Yes.  
00:12:56,467-00:12:56,617 Jimothy:  Yes.  
00:12:57,410-00:12:57,751 DM:  With the entire maneuver. 
00:12:57,657-00:13:06,567 Jimothy:  Yes. the, the risk was tracking and trying to see what happened like i was trying to mitigate the risk by not going into the prison because I knew they were.  
00:12:57,720-00:12:57,870 Jimothy:  Yes.  
00:13:07,580-00:13:09,900 Jimothy:  Tracking me and so. 
00:13:10,340-00:13:13,264 Jimothy:  I was trying to do the right thing by by doing something.  
00:13:14,290-00:13:14,440 Jimothy:  But  
00:13:16,499-00:13:17,490 Jimothy:  But but anyway? 
00:13:17,415-00:13:23,125 Jimothy:  But but can see I was. I was belaboring the point and trying to figure out how I was going to, Um? 
00:13:24,367-00:13:29,517 Jimothy:  Not risk my hide, because that entire time, I was saying I didn't want to do this so.  
00:13:28,551-00:13:28,861 DM:  I, I. 
00:13:29,403-00:13:31,673 DM:  I, get that, I get that. I get that. 
00:13:30,735-00:13:30,885 Jimothy:  Um.  
00:13:32,200-00:13:32,350 Jimothy:  Um.  
00:13:32,265-00:13:32,415 Jimothy:  Um.  
00:13:33,630-00:13:43,853 DM:  But it was clear that you were made, you had a sniper aiming at you from the rooftops, you had multiple guards recognize you people following you and then you're at the front of the prison, and this happens. 
00:13:40,834-00:13:40,984 Jimothy:  Um.  
00:13:41,507-00:13:51,577 Jimothy:  Um. well, obviously, obviously, hindsight hindsight is 2020, I didnt know all of those details, I thought it was a scope? I thought they were whistlebrush brigands any? 
00:13:51,499-00:14:02,289 DM:  And all of this was a trap carefully made to capture you guys, and you fell right into it so from a storytelling aspect, by all rights, Jimothy is cooked. in this sense, however. 
00:14:03,322-00:14:03,632 DM:  I am. 
00:14:03,369-00:14:05,759 DM:  I to doing a Dm intervention because.  
00:14:06,314-00:14:07,984 DM:  I don't want. 
00:14:08,406-00:14:10,876 DM:  I want everyone to have fun at the end, but I. 
00:14:12,700-00:14:15,237 DM:  I am calling it out that this is a Dm intervention and.  
00:14:17,140-00:14:19,244 DM:  Personally, like not keen on it.  
00:14:20,491-00:14:21,801 DM:  But we can do that. 
00:14:22,762-00:14:23,720 DM:  How do? 
00:14:23,943-00:14:24,693 DM:  All feel. 
00:14:28,652-00:14:28,802 Gordon:  Please.  
00:14:29,414-00:14:30,524 Gordon:  Please. mean in. 
00:14:30,279-00:14:30,429 Jimothy:  My.  
00:14:31,567-00:14:32,517 Jimothy:  My. vote is for the D M. intervention. 
00:14:31,637-00:14:31,787 Gordon:  And?  
00:14:32,300-00:14:36,273 Gordon:  And? i know I know what your vote is, so my vote is.  
00:14:36,241-00:14:36,391 Jimothy:  Yeah.  
00:14:36,519-00:14:41,389 Gordon:  This is right now not involving Alicia Murgordon and. 
00:14:42,922-00:14:43,720 Gordon:  So?  
00:14:44,176-00:14:44,326 Gordon:  So?  
00:14:45,151-00:14:49,141 Gordon:  So? know Sean may feel differently, but in my opinion, I'm like this is kind of between? 
00:14:50,743-00:14:58,453 Gordon:  And the Dm, and how this situation is handled. I have come to terms with the idea of Gordon dying, I. 
00:14:58,592-00:15:14,302 Gordon:  I hope he doesn't, but like if he does then like, I want those threats still to still be present, but also I have backup characters that would make our our game a living nightmare, so maybe thatll also be some deterrence, but you know if this is how? 
00:15:15,333-00:15:20,363 Gordon:  In a separate, like if we were all together in a group, i would have more an opinion on it because it would. 
00:15:21,716-00:15:22,626 Gordon:  I feel like. 
00:15:23,287-00:15:28,997 Gordon:  My gameplay slash gordons gameplay more directly, but because this is, you know with Ji. 
00:15:29,933-00:15:30,283 Gordon:  Im like. 
00:15:30,647-00:15:36,997 Gordon:  If he wants to take shots, and this is his version of fun, I mean, Im not there. i dont care like, and thats my opinion, but. 
00:15:41,817-00:15:47,887 Elysium:  I would say I completely agree and side with Tucker on this, and I will just say out of a non. 
00:15:42,128-00:15:42,278 Jimothy:  Yeah.  
00:15:48,360-00:15:51,630 Elysium:  Decisional comment in this situation that.  
00:15:51,875-00:15:55,705 Elysium:  If it was me, I would be completely against demon intervention, and just. 
00:15:56,368-00:15:57,118 Elysium:  Let it ride. 
00:15:56,426-00:15:56,576 DM:  Nor.  
00:15:57,686-00:16:00,116 DM:  Nor. am completely against D. M intervention as well. 
00:15:58,309-00:15:59,219 Elysium:  Like last night? 
00:16:00,504-00:16:06,294 Elysium:  Like last night I walked through, i let myself get dragged into the witch witch hunters organization, whatever to go through. 
00:16:05,256-00:16:05,406 Gordon:  Yeah.  
00:16:06,728-00:16:08,518 Elysium:  Now I say that insane, thats just me. 
00:16:07,993-00:16:15,303 Gordon:  Yeah. gordon would do the same. Yeah, gordon would do the same, but thats also how I am as a player, because I have backups ready so. 
00:16:10,918-00:16:12,228 Elysium:  Oh yeah, like. 
00:16:12,366-00:16:13,516 Elysium:  Oh i said I know. 
00:16:13,955-00:16:24,265 Elysium:  We have different. We are different players, and we have different thoughts and opinions on this, so like i said I agree with tucker, though that, this is more so, not directly involving us at the moment, at least, so youtub. 
00:16:15,958-00:16:16,108 Gordon:  Yeah.  
00:16:16,747-00:16:16,897 Gordon:  Yeah.  
00:16:23,120-00:16:27,310 Gordon:  Yeah. we were there. I would have more to say, but im not so. 
00:16:26,117-00:16:26,267 Elysium:  A.  
00:16:29,696-00:16:30,446 Jimothy:  Yeah. will say. 
00:16:29,830-00:16:29,233 Jimothy:  Yeah.  
00:16:31,478-00:16:31,628 Jimothy:  The.  
00:16:31,814-00:16:33,840 Jimothy:  The. why? I? 
00:16:34,143-00:16:38,293 Jimothy:  I. this guy is because Ive ive done exactly what you. 
00:16:34,202-00:16:34,352 Jimothy:  I.  
00:16:39,650-00:16:41,550 Jimothy:  You saying? Um, you know I.  
00:16:40,809-00:16:46,319 DM:  So at the same time, you knew what you were getting into getting close to the prison and making a move against it. 
00:16:44,937-00:16:45,870 Jimothy:  Ex.  
00:16:46,292-00:16:49,562 Jimothy:  Ex. me, D, M, Id like to say my piece. 
00:16:47,748-00:16:48,980 DM:  Just saying. 
00:16:48,239-00:16:48,389 Gordon:  Okay.  
00:16:49,150-00:16:49,165 Elysium:  A.  
00:16:49,851-00:16:55,410 Elysium:  A. for reference and lazy, Im dealt with him last night as well, you guys werent aware of that because we havent had good conversation.  
00:16:50,482-00:16:51,112 Jimothy:  Ah, ah. 
00:16:54,538-00:17:06,208 DM:  Felicium meet with them, also, Sean. what utor was whispering and chatting with that guard about saying, do not fuck this up for me were only getting one shot at it, this is exactly what he was talking about. 
00:16:56,445-00:16:56,595 Jimothy:  Okay.  
00:16:56,709-00:16:56,859 Elysium:  So?  
00:17:05,558-00:17:05,708 Elysium:  So?  
00:17:08,265-00:17:08,415 Jimothy:  Okay.  
00:17:10,461-00:17:15,331 Jimothy:  Okay. why I had an encounter with uter before is because I, I.  
00:17:10,690-00:17:10,840 Jimothy:  Okay.  
00:17:15,823-00:17:16,613 Jimothy:  I just. 
00:17:17,183-00:17:20,773 Jimothy:  For it, you know, and and just did the jimothy thing, um?  
00:17:23,960-00:17:29,600 Jimothy:  I don't want to have like a round two of trying to figure out how to get out of the dungeon like. 
00:17:29,717-00:17:32,387 Jimothy:  For me, that's not fun, because.  
00:17:33,639-00:17:35,589 Jimothy:  You know we're we're trying to.  
00:17:36,245-00:17:36,395 Jimothy:  Um.  
00:17:36,424-00:17:37,254 Elysium:  So? too much. 
00:17:38,478-00:17:38,628 Jimothy:  Um.  
00:17:39,304-00:17:42,140 Elysium:  I think I was too much talking, I was just joking, though.  
00:17:40,949-00:17:41,990 DM:  Unk.  
00:17:41,540-00:17:42,404 Jimothy:  Um. yeah, well, yeah. 
00:17:42,548-00:17:44,938 Jimothy:  Yeah, its a lot lot talking, but mainly. 
00:17:45,589-00:17:50,590 Jimothy:  Like for me, I like it when were all together and doing stuff and? 
00:17:51,330-00:17:51,480 Jimothy:  Um.  
00:17:52,203-00:18:01,193 Jimothy:  Um. the the last encounter that I had with Dvan Schmack required like multiple solo rounds, just between me and Eric, and so, um? 
00:17:52,472-00:17:52,622 DM:  Unk.  
00:18:00,412-00:18:01,242 DM:  Unk. will.  
00:18:02,243-00:18:06,730 DM:  Add that that may not be how it pans out this time?  
00:18:06,375-00:18:11,805 DM:  What we would likely do are some roles to determine Jimothy's fate and. 
00:18:11,982-00:18:13,920 DM:  And that might? 
00:18:13,983-00:18:14,373 DM:  Be it. 
00:18:17,380-00:18:21,428 DM:  This could actually be the death of Jimothy, or the disappearance of Jimothy. 
